self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
 No,200000,600000,16,821,400000,100000,500000,100000, Approved
 Yes,400000,800000,10,859,900000,500000,800000,200000, Approved
 No,300000,1100000,2,300,100000,500000,700000,400000, Approved
 Yes,300000,1100000,2,702,300000,200000,500000,200000, Approved
 No,300000,1100000,8,778,800000,200000,900000,100000, Approved
 No,400000,1200000,12,861,200000,600000,1100000,200000, Approved
 Yes,700000,1300000,20,704,1600000,0,2200000,600000, Approved
 Yes,500000,1400000,2,551,900000,600000,1100000,300000, Approved
 No,700000,1400000,14,639,1900000,700000,2400000,900000, Approved
 Yes,400000,1500000,2,669,-100000,600000,900000,500000, Approved
 No,500000,1500000,2,888,1500000,300000,1500000,600000, Approved
 No,600000,1600000,6,647,1500000,600000,1500000,700000, Approved
 Yes,500000,1600000,4,663,1300000,100000,1300000,700000, Approved
 Yes,700000,1700000,8,733,1200000,800000,2400000,500000, Approved
 Yes,900000,2200000,16,566,100000,700000,2000000,600000, Approved
 Yes,800000,2200000,20,782,1300000,800000,2800000,600000, Approved
 No,800000,2900000,8,682,2200000,1100000,2900000,700000, Approved
 No,1400000,3100000,14,575,3000000,2100000,4900000,1400000, Approved
 Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000, Approved
 No,1400000,3300000,2,652,100000,2100000,3500000,1900000, Approved
 Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000, Approved
 No,1900000,4100000,18,801,400000,800000,4800000,1200000, Approved
 No,1600000,4500000,12,633,700000,1700000,4100000,1900000, Approved
 Yes,1900000,5000000,6,560,1000000,1900000,6300000,1400000, Approved
 Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000, Approved
 No,2100000,5100000,12,674,2200000,3200000,6400000,2400000, Approved
 Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000, Approved
 No,1800000,5300000,6,826,4500000,700000,6500000,1300000, Approved
 No,1500000,5500000,16,717,2100000,800000,4400000,1300000, Approved
 Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000, Approved
 No,2800000,6000000,18,816,6300000,4200000,8000000,3400000, Approved
 No,1600000,6200000,18,636,3400000,700000,5300000,1400000, Approved
 No,3000000,6500000,2,612,8800000,3400000,6700000,1700000, Approved
 No,1900000,6500000,18,671,600000,2500000,4800000,1100000, Approved
 No,2900000,6500000,18,827,8300000,600000,10400000,3200000, Approved
 Yes,2700000,6800000,20,796,700000,4200000,7000000,1900000, Approved
 Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000, Approved
 No,1900000,7500000,20,715,5100000,2800000,6500000,2800000, Approved
 No,3600000,7500000,6,894,1100000,6500000,7400000,2800000, Approved
 No,3800000,7600000,4,689,8700000,100000,9300000,3400000, Approved
 No,3600000,7700000,16,830,7000000,1300000,10000000,2900000, Approved
 No,3000000,7700000,12,890,4700000,4300000,8400000,2100000, Approved
 Yes,3300000,7800000,16,632,8500000,500000,7100000,4900000, Approved
 No,2600000,7800000,4,819,3100000,4300000,5700000,1500000, Approved
 Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000, Approved
 Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000, Approved
 Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000, Approved
 No,3600000,8600000,20,613,9400000,300000,10300000,3300000, Approved
 No,3800000,8900000,4,844,9100000,3500000,13100000,4700000, Approved
 Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000, Approved
 Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000, Approved
 Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000, Approved
 No,3100000,9600000,2,761,5800000,1800000,10400000,4200000, Approved
 Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000, Approved
 No,2800000,9900000,8,742,4900000,1300000,6700000,1700000, Approved
 No,2700000,10300000,10,736,1000000,0,6200000,3300000, Approved
 No,2900000,10400000,6,673,5100000,1700000,10600000,1700000, Approved
 Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000, Approved
 No,2700000,10600000,6,591,1300000,2700000,9900000,1800000, Approved
 No,4700000,10700000,10,794,5700000,3900000,16400000,4400000, Approved
 Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000, Approved
 Yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000, Approved
 Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000, Approved
 No,4000000,11100000,12,572,9700000,100000,12500000,2400000, Approved
 Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000, Approved
 No,5000000,11200000,8,701,9100000,500000,14000000,4600000, Approved
 No,4900000,11900000,8,612,9700000,1200000,19000000,5800000, Approved
 Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000, Approved
 Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000, Approved
 No,5600000,12400000,4,777,5500000,3100000,11800000,5500000, Approved
 No,5800000,12800000,2,656,500000,5000000,16000000,2800000, Approved
 Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000, Approved
 No,5700000,12900000,18,807,4100000,900000,18600000,5500000, Approved
 No,4800000,13200000,2,583,13700000,5800000,9500000,5200000, Approved
 No,5600000,13300000,20,869,3300000,7500000,20000000,6500000, Approved
 No,6500000,13400000,18,787,18200000,300000,16200000,5400000, Approved
 No,6300000,14600000,12,652,10300000,3500000,23500000,5900000, Approved
 Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000, Approved
 No,5700000,14800000,16,697,14300000,7800000,12900000,6300000, Approved
 No,4500000,15100000,6,693,3700000,1500000,17800000,6000000, Approved
 Yes,6700000,15200000,10,689,0,8200000,15000000,6800000, Approved
 No,7100000,15400000,18,707,10300000,10800000,19600000,5800000, Approved
 Yes,4100000,15500000,6,667,2800000,1600000,14700000,4000000, Approved
 No,5700000,15900000,16,638,100000,9500000,16300000,4500000, Approved
 No,7800000,15900000,2,665,14400000,900000,27200000,5400000, Approved
 Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000, Approved
 Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000, Approved
 No,4600000,16700000,2,786,200000,5900000,13900000,6100000, Approved
 Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000, Approved
 Yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000, Approved
 Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000, Approved
 Yes,4700000,17500000,8,585,1200000,3100000,9600000,4900000, Approved
 Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000, Approved
 No,7800000,18100000,2,712,8600000,11200000,21700000,9000000, Approved
 Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000, Approved
 Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000, Approved
 No,6400000,18300000,8,697,10000000,3600000,22500000,3600000, Approved
 Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000, Approved
 Yes,9000000,18700000,18,865,26800000,0,20900000,11300000, Approved
 Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000, Approved
 Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000, Approved
 No,7200000,19100000,4,774,9400000,7000000,17900000,3600000, Approved
 No,7000000,19500000,14,719,12200000,10300000,18200000,10200000, Approved
 Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000, Approved
 No,5500000,20500000,12,634,800000,8600000,18500000,8200000, Approved
 Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000, Approved
 Yes,5900000,20600000,10,777,1900000,4600000,21200000,6400000, Approved
 Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000, Approved
 No,9800000,20900000,12,768,3400000,10200000,38600000,13400000, Approved
 Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000, Approved
 Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000, Approved
 Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000, Approved
 Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000, Approved
 Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000, Approved
 No,9600000,22500000,18,851,7400000,16200000,24300000,12700000, Approved
 Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000, Approved
 No,7500000,23100000,4,824,12100000,10900000,26300000,9500000, Approved
 Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000, Approved
 Yes,6900000,23400000,4,481,18700000,1100000,23400000,10200000, Approved
 No,6700000,24500000,12,818,1200000,5600000,16300000,6200000, Approved
 No,9100000,24900000,16,822,22300000,12100000,31000000,5200000, Approved
 No,8700000,25000000,20,861,14700000,8500000,23200000,7300000, Approved
 Yes,8700000,27000000,10,717,25500000,8600000,17500000,9100000, Approved
 No,9200000,27200000,12,873,4500000,1800000,33800000,11400000, Approved
 No,8200000,28100000,12,696,11500000,10600000,25300000,7200000, Approved
 Yes,8000000,28100000,18,725,1900000,12800000,23000000,7500000, Approved
 Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000, Approved
 No,8300000,29100000,10,715,6100000,11900000,24100000,11900000, Approved
 No,8000000,29300000,4,600,16500000,13200000,29400000,6500000, Approved
 No,9400000,29400000,12,562,25900000,15200000,36400000,7100000, Approved
 No,8500000,29400000,12,576,17600000,5600000,25200000,9000000, Approved
 No,9600000,29900000,12,778,2400000,17600000,22700000,8000000, Approved
 Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000, Approved
 Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000, Approved
 Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000, Approved
 Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000, Approved
 No,8800000,31200000,4,826,2900000,500000,33300000,8600000, Approved
 Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000, Approved
 Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000, Approved
 Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000, Approved
 No,9800000,32400000,2,543,24200000,17500000,25700000,7700000, Approved
 Yes,8200000,32400000,18,831,22800000,12300000,17700000,7800000, Approved
 No,8500000,32900000,10,570,5100000,6200000,20500000,5500000, Approved
 Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000, Approved
 No,8700000,33000000,4,678,22500000,14800000,29200000,4300000, Approved
 No,9000000,33500000,8,801,11600000,8900000,35400000,11100000, Approved
 Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000, Approved
 No,9800000,37600000,10,641,24100000,0,23400000,7600000, Approved
 No,200000,700000,8,501,500000,200000,700000,100000, Rejected
 No,400000,900000,12,478,700000,100000,1200000,100000, Rejected
 Yes,500000,1500000,20,340,100000,200000,1900000,600000, Rejected
 No,600000,1500000,14,543,300000,900000,2100000,300000, Rejected
 Yes,800000,1600000,10,436,700000,200000,2200000,1000000, Rejected
 No,1000000,2000000,10,366,1200000,400000,3200000,1300000, Rejected
 Yes,800000,2300000,12,342,2200000,1300000,1800000,800000, Rejected
 No,900000,2300000,16,545,100000,200000,2700000,800000, Rejected
 Yes,700000,2600000,12,429,1600000,1300000,2700000,800000, Rejected
 No,800000,3200000,8,317,300000,1000000,2000000,900000, Rejected
 No,1400000,3400000,6,540,200000,1500000,3900000,800000, Rejected
 Yes,1100000,3500000,12,503,3000000,400000,2200000,1200000, Rejected
 Yes,900000,3500000,4,770,700000,0,2000000,600000, Rejected
 Yes,1800000,3600000,18,465,600000,500000,5400000,2600000, Rejected
 Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000, Rejected
 No,1100000,4300000,10,388,3200000,1400000,3300000,1600000, Rejected
 No,1300000,4500000,6,415,0,900000,2900000,1200000, Rejected
 No,1900000,5000000,12,312,4000000,2800000,4900000,2400000, Rejected
 Yes,1500000,5100000,6,352,100000,200000,5600000,900000, Rejected
 No,1600000,5500000,12,425,600000,800000,5400000,900000, Rejected
 Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000, Rejected
 No,2000000,6200000,18,402,4000000,2100000,7200000,1100000, Rejected
 No,1700000,6400000,10,452,900000,1100000,5600000,2100000, Rejected
 No,1800000,6500000,6,540,2500000,3200000,5000000,1100000, Rejected
 Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000, Rejected
 No,3300000,6800000,14,317,3400000,300000,11700000,3600000, Rejected
 No,1900000,7400000,6,469,1900000,1200000,5900000,1900000, Rejected
 No,2600000,8400000,6,494,6500000,3800000,5600000,2000000, Rejected
 Yes,2400000,8600000,8,309,500000,600000,5700000,2800000, Rejected
 Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000, Rejected
 No,3500000,8900000,4,470,1300000,2200000,12300000,2000000, Rejected
 No,3100000,9500000,20,514,7900000,3100000,6600000,2600000, Rejected
 No,4900000,9800000,16,324,3800000,8700000,10000000,3300000, Rejected
 Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000, Rejected
 No,4100000,10300000,12,364,9500000,6100000,14900000,2800000, Rejected
 Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000, Rejected
 No,4300000,10600000,18,431,2100000,1500000,9300000,5200000, Rejected
 No,4400000,10800000,14,463,2400000,4800000,13800000,4700000, Rejected
 Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000, Rejected
 No,3200000,11300000,6,484,3500000,5500000,8500000,2100000, Rejected
 Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000, Rejected
 Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000, Rejected
 No,5700000,12000000,6,363,3600000,7400000,21700000,4300000, Rejected
 Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000, Rejected
 Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000, Rejected
 Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000, Rejected
 Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000, Rejected
 No,3800000,13900000,12,534,4700000,2900000,8200000,2800000, Rejected
 No,5800000,14000000,16,530,3800000,11300000,22200000,5400000, Rejected
 Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000, Rejected
 Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000, Rejected
 Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000, Rejected
 Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000, Rejected
 No,5200000,15600000,20,434,14100000,5800000,18100000,5500000, Rejected
 No,7200000,15800000,12,379,12700000,12200000,21500000,3600000, Rejected
 Yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000, Rejected
 Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000, Rejected
 No,6600000,17400000,20,506,2600000,10000000,25900000,7200000, Rejected
 Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000, Rejected
 No,5100000,18200000,10,395,100000,8000000,15500000,6300000, Rejected
 No,7000000,18300000,4,418,18400000,11700000,21500000,7600000, Rejected
 No,7400000,18400000,20,421,18500000,9100000,17500000,4100000, Rejected
 No,8500000,18900000,18,478,23800000,16300000,25900000,11400000, Rejected
 Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000, Rejected
 Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000, Rejected
 No,5000000,19400000,12,315,9500000,1600000,18000000,6100000, Rejected
 No,7100000,19700000,8,502,7300000,5600000,25300000,9800000, Rejected
 No,7400000,19800000,18,458,12600000,6200000,27700000,4000000, Rejected
 No,8400000,20600000,10,477,1500000,1500000,25000000,11900000, Rejected
 No,9700000,20600000,16,524,24200000,11100000,27400000,6100000, Rejected
 No,8800000,20700000,18,540,19200000,3200000,22400000,12700000, Rejected
 No,5700000,21100000,18,489,500000,4300000,12500000,6000000, Rejected
 Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000, Rejected
 Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000, Rejected
 No,6800000,21200000,16,439,17100000,4700000,23300000,3600000, Rejected
 No,8800000,22600000,10,357,7900000,8600000,18200000,4900000, Rejected
 Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000, Rejected
 Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000, Rejected
 No,8400000,23400000,14,437,15400000,5800000,33400000,8100000, Rejected
 Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000, Rejected
 Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000, Rejected
 Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000, Rejected
 No,8700000,24700000,10,435,6800000,3500000,21800000,11300000, Rejected
 No,9800000,25300000,12,313,20200000,5200000,25500000,9300000, Rejected
 No,7300000,25400000,16,502,500000,1800000,20500000,10500000, Rejected
 Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000, Rejected
 Yes,9400000,27000000,10,536,4400000,1700000,33800000,4800000, Rejected
 No,9200000,27100000,12,306,5800000,11500000,28000000,9600000, Rejected
 Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000, Rejected
 No,8000000,27800000,16,331,13000000,6300000,21400000,10900000, Rejected
 No,9000000,28200000,16,327,1700000,2300000,24000000,11200000, Rejected
 Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000, Rejected
 Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000, Rejected
 Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000, Rejected
 Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000, Rejected
 No,9100000,29700000,20,506,7100000,4500000,33300000,12800000, Rejected
 No,8200000,30700000,8,467,18200000,3300000,23300000,7900000, Rejected
 No,8500000,32700000,18,471,12600000,9400000,33900000,12500000, Rejected
 Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000, Rejected
 Yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000, Rejected
 No,9400000,35000000,16,548,18200000,4400000,36100000,4800000, Rejected
 Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000, Rejected
